Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;FailedRawOrder3;FailedRawOrder2;FailedRawOrder1;OrdersS3;OrdersS2;OrdersS1;Costs;NumberBackOrdered;AvarageQInStock;AvarageLeadTime;OrderFillRate
48;NaN;17,0377515244276;18,0063932975089;NaN;3,53584647908186;561,59545521175;657,687463399372;596,456369081542;40,7579534510816;46,1936690368586;76,9587117422519;NaN;NaN;163,78830104977;797,0587421584;178,336021940044;0;2;0;0;27;27;416500;0,00480928726177818;554,501356272688;187,835204280933;99,2125984251969
49;NaN;16,9910696309476;18,0404151692561;NaN;3,57115326394809;692,178141087343;613,747670686851;643,86561375794;41,6634888986924;43,4888504928229;77,6930708151;NaN;NaN;157,668081590131;684,790964450011;147,976271286619;0;0;0;0;28;28;441000;0,126752204724664;540,172911907677;186,763438093784;99,2592592592593
50;NaN;16,9508817749214;18,1245314460487;NaN;3,59026025151252;641,023108515007;629,101856116944;715,190129047106;43,8091694394609;45,7400871977174;72,4108797002976;NaN;NaN;188,553218188014;799,392003785265;166,478645887774;0;2;0;0;24;24;378000;1,12722172727656;574,110568510943;194,045022303621;98,2758620689655
51;NaN;17,0976014889099;18,0574708664014;NaN;3,4870044630594;631,88893667876;617,869871274736;640,73004527566;39,4572122125276;46,1205445898052;74,2758922729837;NaN;NaN;163,864696678026;566,647982419717;170,430977412818;0;2;0;0;26;26;409500;2,76098306055114;572,707224583319;189,422248593062;93,4426229508197
52;NaN;17,1580042810088;18,0243679620439;NaN;3,38535086065065;579,09314388802;706,053754565062;587,307484680589;38,548661355661;44,1591929404863;74,8370058844356;NaN;NaN;159,352836290268;NaN;174,674441361425;0;2;0;0;25;25;393750;0,680574383650606;594,853020147575;160,831875020621;98,3471074380165
53;NaN;17,0175177520762;18,0503108267465;NaN;3,37437260231569;648,925372827957;658,844922010322;632,102111742812;36,6680206933284;45,2965005347505;72,5689195092817;NaN;NaN;154,604093641695;788,491671089611;166,867885824981;0;2;1;0;28;28;434000;7,97679232636627;560,472181742822;191,499756745614;93,9393939393939
54;NaN;17,0404420616898;17,9692783157859;NaN;3,56783016075912;638,876999955113;630,268371808758;683,50708096929;38,7374556857836;46,4720590488734;75,0063960580155;NaN;NaN;164,763012705875;NaN;180,250213347483;0;2;0;0;28;28;441000;0,569311772738898;578,703342886199;171,466233131732;99,2592592592593
55;NaN;16,9867789277104;17,9770303546185;NaN;3,29918000093781;657,210191225766;604,356478972588;633,344161587542;41,0663596840043;44,48946556954;75,1850639618198;NaN;NaN;148,730018405083;889,808125730306;174,967628537434;0;0;0;0;31;31;472500;9,53510265163586;517,851917746003;194,269137794579;94,4827586206897
56;NaN;16,9859000094131;17,9120522172677;NaN;3,36239666976811;629,227825921684;636,966211701844;580,256381590389;41,0296126471699;46,4673224762261;76,9281289822079;NaN;NaN;151,590097924478;595,405217974395;177,187377439942;0;0;2;0;27;27;425250;0,400948512675507;570,922906732275;173,97463833248;98,5074626865672
57;NaN;16,9079972756572;17,8749290416244;NaN;3,40305139956065;642,823572648999;609,571881206936;609,977967851439;43,4112672238714;48,1697427534498;76,0810646949042;NaN;NaN;164,4941182581;677,506243130415;170,281411823705;0;0;1;0;25;25;393750;3,61064552249182;549,992894235077;190,782421389136;94,0677966101695
58;NaN;17,0583339500898;18,1543166164181;NaN;3,57066005034252;645,863116394215;615,034376693403;613,758525610747;42,0677847162421;47,9225874929689;79,0667884463134;NaN;NaN;148,099521782986;742,723752968143;166,587666004129;0;0;0;0;31;31;488250;5,87942620113133;595,704924736598;166,898664535431;96,5986394557823
59;NaN;17,0795956116247;18,0056895551873;NaN;3,50321213422536;624,861039921504;606,817793928715;625,707259239355;42,4384089143548;45,7769292118386;74,0806566698379;NaN;NaN;153,670982987662;654,599664982112;180,932472040201;0;0;0;0;29;29;456750;4,54339301128025;550,005494023026;196,635076517539;93,4306569343066
60;NaN;17,205507242691;18,0036724556085;NaN;3,58619220387191;727,355786789349;697,915797844386;671,877097082731;37,6002846062849;46,3248352378607;79,158979789742;NaN;NaN;153,012053739304;NaN;169,962450567393;0;7;1;0;30;30;472500;0,637547295411988;570,203972442167;170,955177041137;97,887323943662
61;NaN;17,0509066605896;18,0485164112865;NaN;3,61879461864941;670,631657903839;646,283728495679;575,113761533115;36,6293614745761;45,2198648558428;78,5442875271353;NaN;NaN;165,785998495545;NaN;172,790845797508;0;1;0;0;25;25;393750;0,602339259611494;618,977000132511;158,395489193471;98,3193277310924
62;NaN;17,0380525475484;18,1985224876751;NaN;3,56844108823109;571,630482516621;631,709285890404;611,310204256288;40,4796628989944;45,412273231842;76,5221180487424;NaN;NaN;170,735261887486;684,225710047926;163,050410475458;0;2;0;0;29;29;456750;0,232493826893024;600,013233333232;175,80568856996;98,5185185185185
63;NaN;16,9831818591933;18,1399093261443;NaN;3,64464135959189;649,837999306531;635,985694555814;621,31742452195;37,1465537799522;46,8205613764719;76,2294830128207;NaN;NaN;168,748396843597;430,040024130533;176,694275557709;0;3;0;0;26;26;409500;0,156675285523019;583,024308976997;176,225297180477;98,3870967741936
64;NaN;17,0007156702833;18,009450589398;NaN;3,50363871418766;588,062343848706;667,507421356645;640,519258687649;40,9732098711122;46,1143622262817;74,3108039507397;NaN;NaN;163,779802952728;490,431725708878;164,488639859733;0;2;0;0;31;31;488250;0,675600120870528;548,426361781622;172,304583395127;97,9591836734694
65;NaN;17,0388876092719;17,9904335247575;NaN;3,63753796050358;605,712406368914;679,108499895854;561,967314813657;41,12687299235;46,9578919077937;75,0382739392501;NaN;NaN;185,810682794195;NaN;177,092170756063;0;0;1;0;28;28;441000;1,60561539492463;567,537207109619;169,373093120611;95,4545454545455
66;NaN;16,8577520019747;17,9952727929043;NaN;3,52109026302351;611,671024562684;572,972567571398;605,385055220928;39,0034613925964;45,6231534625921;76,4010261012682;NaN;NaN;160,801124752779;784,654354721958;179,20864910977;0;0;0;0;30;30;472500;15,5876718898787;498,508707235762;217,5600275516;92,2535211267606
67;NaN;16,9073699965226;17,9454020394062;NaN;3,50697373643326;656,202258667953;611,101693911357;587,663603784011;44,6909653757595;41,5417511843973;73,4511379006711;NaN;NaN;141,602670403826;583,445703404299;151,562005674982;0;0;0;0;34;34;535500;10,068764814636;527,381065783001;185,944201391521;90,625
