Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;FailedRawOrder3;FailedRawOrder2;FailedRawOrder1;OrdersS3;OrdersS2;OrdersS1;Costs;NumberBackOrdered;AvarageQInStock;AvarageLeadTime;OrderFillRate
1;15,9947792319898;NaN;18,1953943272399;6,08360048511933;3,33009367010653;665,485178453487;631,481713914963;578,741721618962;46,5469161460463;43,0714461013364;77,3150687654944;867,759776764275;726,217368651139;NaN;NaN;165,576037637108;5;0;0;29;0;29;400750;12,1951975974696;417,243220220143;300,44433038453;80,8823529411765
2;16,0966324198904;NaN;17,9733097704482;6,62685391493142;3,31676022205144;676,422232284508;591,239150428909;674,731898927173;42,1531010399173;43,5996763445795;75,3155854724658;1186,99327058319;750,91367646865;NaN;NaN;169,039384419364;2;0;0;26;0;26;364000;5,61726849166325;478,240081446692;290,609863000044;91,2
3;16,075866888836;NaN;18,1244126515372;7,02367923329942;3,57081878436013;595,219968430032;642,852343722449;664,688022864858;41,4554588223941;45,850288451701;75,8696591698875;987,377426320893;703,81432021385;NaN;501,559058862508;172,851746223078;4;0;0;26;0;26;350000;8,72787521577272;451,425526128011;288,012697133723;88,5245901639344
4;15,9708797424566;NaN;18,0255618360257;7,02164639182389;3,51330545388162;567,296237843072;635,316481620089;607,966453351126;36,0720894001424;41,8934711560222;74,1168655834994;387,130610055694;657,66223770506;NaN;814,54549604359;169,420084684177;4;0;1;25;0;25;350000;5,09179708034114;494,113672168103;289,885963404743;96,6942148760331
5;16,2513579490062;NaN;18,1215707713383;5,99692845330215;3,55393206715906;729,027308571805;611,209378169041;576,69211561135;41,2543408333191;47,4785550692468;76,0707885444802;781,612890421653;741,022808508068;NaN;NaN;180,230349841576;3;0;0;26;0;26;364000;5,8930916275324;432,345485872283;288,563049153781;90,4761904761905
6;15,9842709887986;NaN;17,9081828288582;6,15431171674281;3,76039634584449;601,407583679527;583,408117869268;542,288152719783;39,8194116755421;47,2906416328624;74,6676188861755;1213,05065024349;731,032108024506;NaN;467,493540714357;173,142243002457;6;0;2;30;0;30;420000;4,43789958078312;414,093505052299;294,236574868534;92,1428571428571
7;16,0215506009117;NaN;17,9804293669057;6,1712870704631;3,35788558435161;624,420262435522;649,047380876177;606,708463017471;41,8739878455246;44,9255369937358;75,6266551731939;772,254024751855;708,354265056078;NaN;608,642122510282;174,657922568808;10;0;0;30;0;30;414750;14,3996362641861;444,880540388143;293,654988801703;84,9315068493151
8;16,066266247665;NaN;17,8658407329377;5,9063530973345;3,39139395896345;665,449754782499;665,275936009507;605,908540497977;37,6491474774506;45,3270426854635;74,4892176646298;861,963659165346;713,113392735078;NaN;NaN;173,110234378812;3;0;1;25;0;25;350000;8,21506127639549;497,137193106883;290,813856965405;94,1176470588235
9;16,1224205137052;NaN;17,9135689105412;5,77715494477286;3,68428585419014;630,480843834663;629,990006305753;664,278451725903;41,0099783220461;43,7922635744326;78,6965430151516;477,125663174637;687,44953322743;NaN;488,973507893849;164,169046638538;0;0;0;29;0;29;406000;1,02072652754081;435,325884316015;274,706856756605;96,3503649635037
10;15,9192413584502;NaN;18,0319654809269;6,4495212589563;3,08391329739243;560,989506271712;624,998112932693;648,444489977424;39,0048638994581;43,7901543058355;75,2302716760651;964,158477251569;684,853916314231;NaN;NaN;166,700300744484;4;0;0;27;0;27;378000;4,05266788533621;491,138998971134;272,950455049299;92,3664122137405
11;16,0767902538375;NaN;17,9583004979438;5,56961193163362;3,41826307589913;647,526209197624;697,091707918426;576,486243347285;39,5458202020797;44,7309275038648;73,2070965645835;717,005930567318;728,829389106237;NaN;NaN;158,347071894906;2;0;0;27;0;27;378000;10,1659345559485;422,906593150782;295,463724677908;85,15625
12;16,0833943891447;NaN;18,1675185348987;5,79763601230526;3,69458410518968;642,04013907569;608,169251459459;673,9149566015;39,8880220737694;46,6515433782927;72,6500262210979;NaN;759,824822659694;NaN;821,391273531463;156,076174301678;8;0;1;27;0;27;372750;5,5054192273883;473,546468678746;279,87031321849;93,8461538461538
13;16,0089014772824;NaN;17,9724230193745;6,28922676771051;3,47626882615603;615,300401126495;583,735400303876;588,515296717466;41,0477376157611;46,9724069456928;73,340699887761;897,452214114657;745,370321669768;NaN;452,756688816966;158,231480166373;6;0;0;27;0;27;378000;7,00399438668447;440,054186661867;303,768350727835;91,3385826771654
14;16,1247998552122;NaN;17,9315948090111;5,34056539740413;3,63662484482796;652,109107824177;679,426818952397;660,672859081648;40,381905510689;45,6384302880794;73,1223369881168;NaN;731,0533754762;NaN;738,338206960903;156,145442385634;10;0;1;28;0;28;392000;4,15188761746197;463,417463991862;284,531015065874;93,984962406015
15;15,8693468784075;NaN;17,8777503593569;5,99834045851904;3,40741841233666;616,931607870824;554,721211157042;598,640607979335;44,9269461209354;43,6331318572371;76,8423482892103;795,465209930527;695,270336959172;NaN;NaN;178,058794668099;4;0;0;31;0;31;434000;4,90607443540017;469,618534874479;274,530584949694;92,5675675675676
16;16,0535316707607;NaN;18,0438584732486;5,60131142025107;3,4025359620854;576,382843935603;586,144554365925;666,68326168776;40,734354088661;44,7930971502016;71,5936655200724;1005,01206324347;752,677735207541;NaN;855,202926487814;172,392535920581;3;0;1;29;0;29;400750;14,1595721551106;409,498169089578;306,553990496838;86,231884057971
17;15,9940073766435;NaN;17,9537585243317;5,34391805536758;3,61495527625084;587,87483419352;613,635122608768;591,282855897871;37,6388067435473;47,6917374560323;73,8393295013444;1047,00444827496;681,939414418469;NaN;499,537394925853;155,808339748008;9;0;0;26;0;26;358750;3,05859101664719;479,031680535868;274,637257706138;93,6507936507936
18;15,8944686937146;NaN;17,9651546687933;5,67072120480239;3,44750933484174;735,20210785842;563,673978277359;620,145629432858;39,6453100622942;43,0672317352862;75,6754453257216;NaN;665,304173704044;NaN;NaN;152,331609330014;2;0;1;25;0;25;350000;0,817240240049493;521,257328091934;258,807838742147;96,7213114754098
19;16,0382272551954;NaN;18,0799206222255;5,9822768351684;3,35141736862715;654,552835165231;633,715154799095;631,932638281026;43,1942533229098;45,6846088316077;74,4530150344546;347,296033226711;718,116310026443;NaN;548,295609846731;168,14276347238;2;0;0;30;0;30;420000;3,13001088088535;451,405334769966;277,039789089958;94,4055944055944
20;15,9478692708258;NaN;18,0899046648787;6,09444679995067;3,38299242224457;649,267985491758;615,297031571072;646,720929913417;39,8202476804626;45,8125418132673;78,7754991906695;NaN;773,905949584001;NaN;354,239259311123;163,343500651539;0;0;1;32;0;32;434000;9,41109471525768;425,266086966928;277,533168220044;87,4172185430464
21;16,0233484176637;NaN;18,103672515632;5,97500927686425;3,70401007777712;611,876809847348;655,642445515951;627,463350816261;41,2137723667547;42,8850096749375;76,0557291819714;996,811834851299;755,616902561025;NaN;640,980204283189;176,219506743001;4;0;2;28;0;28;386750;10,3694586619358;435,020910370917;304,024819883867;87,218045112782
